time,value
354,1.941907867
355,2.617790274
356,2.255325125
357,2.101880889
358,1.716654768
359,1.096112766
360,1.855940907
361,2.595658815
362,2.756127408
363,2.979349084
364,3.152120383
365,2.485279788
366,2.738921128
367,2.764099323
368,2.334383707
369,2.583859969
370,2.056827589
371,1.247601246
372,1.246145978
373,1.248753733
374,1.282325453
375,1.544664182
376,2.697968187
377,2.51225246
378,2.971129793
379,2.702816619
380,2.451306648
381,1.30529011
382,2.051661543
383,2.049257188
384,2.312984573
385,3.137123102
386,3.189317873
387,3.731624862
388,3.272578854
389,2.998750378
390,1.895015473
391,1.652676615
392,1.039097668
393,1.982117278
394,2.749570752
395,4.678916295
396,6.487913047
397,5.810752443
398,5.262682051
399,4.316600755
400,2.821527629
401,1.137969162
402,1.540888188
403,2.269570182
404,2.873485044
405,2.620500587
406,2.866484013
407,2.62499954
408,1.501687168
409,1.052816386
410,1.06211745
411,0.686553448
412,1.380166928
413,1.751648183
414,1.59344088
415,1.599967891
416,1.765899696
417,1.077014878
418,1.312074278
419,1.315889945
420,0.948468991
421,1.892901037
422,2.333975436
423,2.318095794
424,2.483098108
425,3.074969746
426,1.963870988
427,1.953738578
428,2.216854527
429,2.73138205
430,2.518809983
431,1.743857609
432,1.653842517
433,0.548944313
434,0.163377189
435,0.015941314
436,0.346305487
437,0.509452371
438,0.662005047
439,0.813699653
440,0.968303788
441,0.78783756
442,0.979701928
443,2.177581794
444,2.862928461
445,2.863878118
446,2.864955135
447,2.659406317
448,1.676744888
449,1.479244765
450,1.486296909
451,1.495839226
452,1.345956068
453,1.16330827
454,0.523876073
455,0.361707874
456,0.376642817
457,0.569441187
458,0.814431163
459,0.984123404
460,1.96545485
461,2.223357137
462,2.213796593
463,2.214133324
464,2.045098778
465,1.762817843
466,1.765454518
467,1.764090901
468,1.333435965
469,1.505345882
470,0.810638245
471,1.338126969
472,1.845442921
473,1.844797592
474,2.090969955
475,3.038773053
476,2.753735884
477,2.721370725
478,2.871660091
479,3.666029145
480,2.890413878
481,2.605279567
482,2.601102606
483,3.639870251
484,3.080245778
485,2.902485572
486,2.504813105
487,2.229943262
488,1.67618676
489,1.189216247
490,1.357909764
491,1.525706747
492,1.533008505
493,1.287000309
494,1.288197995
495,1.504506632
496,1.338355104
497,1.57862523
498,2.335504345
499,3.049600576
500,2.829122797
501,2.827415582
502,2.369276587
503,1.605020505
504,0.72308497
505,0.942671922
506,0.942068963
507,1.152726355
508,1.152973763
509,1.151029848
510,1.149291733
511,1.780169321
512,1.399396486
513,1.015696277
514,1.392108914
515,0.804930632
516,0.816046241
517,1.232806393
518,1.379060546
519,1.160708801
520,0.940332846
521,1.241317888
522,1.332939293
523,1.157145754
524,1.298276292
525,1.336753821
526,1.174545369
527,0.608267376
528,0.636717527
529,0.658105912
530,0.869061509
531,0.723064531
532,0.883013746
533,0.882678361
534,1.693275691
535,1.500113829
536,1.672200507
537,1.669289596
538,2.160304304
539,1.360852997
540,1.603776191
541,1.608148062
542,1.447987122
543,2.019667027
544,2.05890509
545,2.298021526
546,2.291656421
547,2.291453041
548,1.232171961
549,1.702927216
550,1.219949742
551,1.22578049
552,1.404072784
553,2.201033936
554,2.489960612
555,3.868220522
556,4.036181302
557,5.082355601
558,4.274649109
559,3.903066572
560,3.511663965
561,3.330430294
562,2.105439166
563,2.108343623
564,1.909439798
565,0.910857206
566,0.921355158
567,0.920239824
568,0.925084125
569,0.689752233
570,1.434356841
571,2.177142764
572,2.827094097
573,2.830453782
574,2.663271681
575,1.747185205
576,1.001116323
577,0.52509169
578,1.283276193
579,1.690838197
580,1.690796066
581,1.922634463
582,2.969039926
583,2.697505687
584,2.289885823
585,2.465304832
586,2.235595755
587,1.197668842
588,0.712464258
589,0.892734607
590,1.407365174
591,1.231522506
592,1.04893065
593,1.286763146
594,1.789683599
595,1.10015263
596,1.285247486
597,1.285241438
598,1.052256271
599,0.793386041
600,1.49386043
601,1.341480158
602,1.512259119
603,1.965190702
604,2.340565488
605,2.293760035
606,2.960419236
607,3.27060546
608,3.028168972
609,3.044828511
610,2.764570595
611,1.601082266
612,1.874484127
613,2.485243778
614,2.767511164
615,2.797886082
616,3.342978611
617,2.492585556
618,1.884670056
619,1.279493654
620,1.287793106
621,1.266283166
622,1.515864041
623,1.280262072
624,2.953037363
625,4.327243078
626,4.297241318
627,4.28366937
628,4.511092542
629,3.459267292
630,1.859227712
631,1.574420423
632,1.56382984
633,1.857848317
634,1.234302517
635,2.091823429
636,2.725181211
637,3.708422785
638,4.402940606
639,4.695037274
640,4.331041341
641,3.648533674
642,3.609667992
643,2.611553201
644,2.592872988
645,2.302855882
646,2.94182886
647,1.772882072
648,1.783332275
649,1.492260389
650,1.280757377
651,1.306708441
652,1.537812822
653,1.82951542
654,1.83842174
655,2.064697547
656,1.441920481
657,1.436809776
658,0.917287243
659,0.912770933
660,1.857094849
661,1.871738483
662,2.473111416
663,2.472576799
664,2.245390805
665,1.294067648
666,1.277982235
667,0.95903858
668,1.167196871
669,1.993934307
670,2.281130031
671,3.230957837
672,2.723974342
673,3.023397099
674,2.415654684
675,1.908644991
676,0.95822156
677,1.178094947
678,1.189366487
679,1.487332137
680,1.487257811
681,1.261509346
682,1.565853372
683,1.275460216
684,0.986262603
685,0.98604614
686,1.839662834
