value(t),predict(t),value(t-1),value(t-2),trend(t-1),trend(t-2)
0.968303788,0,0.813699653,0.662005047,0,0
0.78783756,0,0.968303788,0.813699653,0,0
0.979701928,0,0.78783756,0.968303788,0,0
2.177581794,0,0.979701928,0.78783756,0,0
2.862928461,0,2.177581794,0.979701928,0,0
2.863878118,0,2.862928461,2.177581794,0,0
2.864955135,0,2.863878118,2.862928461,0,0
2.659406317,0,2.864955135,2.863878118,0,0
1.676744888,0,2.659406317,2.864955135,0,0
1.479244765,0,1.676744888,2.659406317,0,0
1.486296909,0,1.479244765,1.676744888,0,0
1.495839226,0,1.486296909,1.479244765,0,0
1.345956068,0,1.495839226,1.486296909,0,0
1.16330827,0,1.345956068,1.495839226,0,0
0.523876073,0,1.16330827,1.345956068,0,0
0.361707874,0,0.523876073,1.16330827,0,0
0.376642817,0,0.361707874,0.523876073,0,0
0.569441187,0,0.376642817,0.361707874,0,0
0.814431163,0,0.569441187,0.376642817,0,0
0.984123404,0,0.814431163,0.569441187,0,0
1.96545485,0,0.984123404,0.814431163,0,0
2.223357137,0,1.96545485,0.984123404,0,0
2.213796593,0,2.223357137,1.96545485,0,0
2.214133324,0,2.213796593,2.223357137,0,0
2.045098778,0,2.214133324,2.213796593,0,0
1.762817843,0,2.045098778,2.214133324,0,0
1.765454518,0,1.762817843,2.045098778,0,0
1.764090901,0,1.765454518,1.762817843,0,0
1.333435965,0,1.764090901,1.765454518,0,0
1.505345882,0,1.333435965,1.764090901,0,0
0.810638245,0,1.505345882,1.333435965,0,0
1.338126969,0,0.810638245,1.505345882,0,0
1.845442921,0,1.338126969,0.810638245,0,0
1.844797592,0,1.845442921,1.338126969,0,0
2.090969955,0,1.844797592,1.845442921,0,0
3.038773053,0,2.090969955,1.844797592,0,0
2.753735884,0,3.038773053,2.090969955,0,0
2.721370725,0,2.753735884,3.038773053,0,0
2.871660091,0,2.721370725,2.753735884,0,0
3.666029145,0,2.871660091,2.721370725,0,0
2.890413878,0,3.666029145,2.871660091,0,0
2.605279567,0,2.890413878,3.666029145,0,0
2.601102606,0,2.605279567,2.890413878,0,0
3.639870251,0,2.601102606,2.605279567,0,0
3.080245778,0,3.639870251,2.601102606,0,0
2.902485572,0,3.080245778,3.639870251,0,0
2.504813105,0,2.902485572,3.080245778,0,0
2.229943262,0,2.504813105,2.902485572,0,0
1.67618676,0,2.229943262,2.504813105,0,0
1.189216247,0,1.67618676,2.229943262,0,0
1.357909764,0,1.189216247,1.67618676,0,0
1.525706747,0,1.357909764,1.189216247,0,0
1.533008505,0,1.525706747,1.357909764,0,0
1.287000309,0,1.533008505,1.525706747,0,0
1.288197995,0,1.287000309,1.533008505,0,0
1.504506632,0,1.288197995,1.287000309,0,0
1.338355104,0,1.504506632,1.288197995,0,0
1.57862523,0,1.338355104,1.504506632,0,0
2.335504345,0,1.57862523,1.338355104,0,0
3.049600576,0,2.335504345,1.57862523,0,0
2.829122797,0,3.049600576,2.335504345,0,0
2.827415582,0,2.829122797,3.049600576,0,0
2.369276587,0,2.827415582,2.829122797,0,0
1.605020505,0,2.369276587,2.827415582,0,0
0.72308497,0,1.605020505,2.369276587,0,0
0.942671922,0,0.72308497,1.605020505,0,0
0.942068963,0,0.942671922,0.72308497,0,0
1.152726355,0,0.942068963,0.942671922,0,0
1.152973763,0,1.152726355,0.942068963,0,0
1.151029848,0,1.152973763,1.152726355,0,0
1.149291733,0,1.151029848,1.152973763,0,0
1.780169321,0,1.149291733,1.151029848,0,0
1.399396486,0,1.780169321,1.149291733,0,0
1.015696277,0,1.399396486,1.780169321,0,0
1.392108914,0,1.015696277,1.399396486,0,0
0.804930632,0,1.392108914,1.015696277,0,0
0.816046241,0,0.804930632,1.392108914,0,0
1.232806393,0,0.816046241,0.804930632,0,0
1.379060546,0,1.232806393,0.816046241,0,0
1.160708801,0,1.379060546,1.232806393,0,0
0.940332846,0,1.160708801,1.379060546,0,0
1.241317888,0,0.940332846,1.160708801,0,0
1.332939293,0,1.241317888,0.940332846,0,0
1.157145754,0,1.332939293,1.241317888,0,0
1.298276292,0,1.157145754,1.332939293,0,0
1.336753821,0,1.298276292,1.157145754,0,0
1.174545369,0,1.336753821,1.298276292,0,0
0.608267376,0,1.174545369,1.336753821,0,0
0.636717527,0,0.608267376,1.174545369,0,0
0.658105912,0,0.636717527,0.608267376,0,0
0.869061509,0,0.658105912,0.636717527,0,0
0.723064531,0,0.869061509,0.658105912,0,0
0.883013746,0,0.723064531,0.869061509,0,0
0.882678361,0,0.883013746,0.723064531,0,0
1.693275691,0,0.882678361,0.883013746,0,0
1.500113829,0,1.693275691,0.882678361,0,0
1.672200507,0,1.500113829,1.693275691,0,0
1.669289596,0,1.672200507,1.500113829,0,0
2.160304304,0,1.669289596,1.672200507,0,0
1.360852997,0,2.160304304,1.669289596,0,0
1.603776191,0,1.360852997,2.160304304,0,0
1.608148062,0,1.603776191,1.360852997,0,0
1.447987122,0,1.608148062,1.603776191,0,0
2.019667027,0,1.447987122,1.608148062,0,0
2.05890509,0,2.019667027,1.447987122,0,0
2.298021526,0,2.05890509,2.019667027,0,0
2.291656421,0,2.298021526,2.05890509,0,0
2.291453041,0,2.291656421,2.298021526,0,0
1.232171961,0,2.291453041,2.291656421,0,0
1.702927216,0,1.232171961,2.291453041,0,0
1.219949742,0,1.702927216,1.232171961,0,0
1.22578049,0,1.219949742,1.702927216,0,0
1.404072784,0,1.22578049,1.219949742,0,0
2.201033936,0,1.404072784,1.22578049,0,0
2.489960612,0,2.201033936,1.404072784,0,0
3.868220522,0,2.489960612,2.201033936,0,0
4.036181302,0,3.868220522,2.489960612,0,0
5.082355601,1,4.036181302,3.868220522,0,0
4.274649109,0,5.082355601,4.036181302,1,0
3.903066572,0,4.274649109,5.082355601,0,1
3.511663965,0,3.903066572,4.274649109,0,0
3.330430294,0,3.511663965,3.903066572,0,0
2.105439166,0,3.330430294,3.511663965,0,0
2.108343623,0,2.105439166,3.330430294,0,0
1.909439798,0,2.108343623,2.105439166,0,0
0.910857206,0,1.909439798,2.108343623,0,0
0.921355158,0,0.910857206,1.909439798,0,0
0.920239824,0,0.921355158,0.910857206,0,0
0.925084125,0,0.920239824,0.921355158,0,0
0.689752233,0,0.925084125,0.920239824,0,0
1.434356841,0,0.689752233,0.925084125,0,0
2.177142764,0,1.434356841,0.689752233,0,0
2.827094097,0,2.177142764,1.434356841,0,0
2.830453782,0,2.827094097,2.177142764,0,0
2.663271681,0,2.830453782,2.827094097,0,0
1.747185205,0,2.663271681,2.830453782,0,0
1.001116323,0,1.747185205,2.663271681,0,0
0.52509169,0,1.001116323,1.747185205,0,0
1.283276193,0,0.52509169,1.001116323,0,0
1.690838197,0,1.283276193,0.52509169,0,0
1.690796066,0,1.690838197,1.283276193,0,0
1.922634463,0,1.690796066,1.690838197,0,0
2.969039926,0,1.922634463,1.690796066,0,0
2.697505687,0,2.969039926,1.922634463,0,0
2.289885823,0,2.697505687,2.969039926,0,0
2.465304832,0,2.289885823,2.697505687,0,0
2.235595755,0,2.465304832,2.289885823,0,0
1.197668842,0,2.235595755,2.465304832,0,0
